snapshot_utc,snapshot_server,label,section,key,value,unit,notes
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,WEDNESDAY_entries_found,1,sessions,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,THURSDAY_0_from,00:05,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,THURSDAY_0_to,00:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,THURSDAY_entries_found,1,sessions,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,FRIDAY_0_from,00:05,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,FRIDAY_0_to,00:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,FRIDAY_entries_found,1,sessions,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,SATURDAY_0_from,00:05,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,SATURDAY_0_to,00:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,trade_session,SATURDAY_entries_found,1,sessions,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M1_first_date,2021.06.29 23:56:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M1_bars,2660240,bars,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M1_synchronized,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M30_first_date,2020.11.05 12:30:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M30_bars,100389,bars,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_M30_synchronized,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_H4_first_date,2019.05.16 00:00:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_H4_bars,15372,bars,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_H4_synchronized,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_D1_first_date,2019.05.16 00:00:00,server_time,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_D1_bars,2614,bars,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,history,PERIOD_D1_synchronized,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_live_margin,0.0400,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_pct_reference_equity,0.0040,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_notional_proxy,18.6938,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_effective_leverage_proxy,467.3450,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.01000000_hmr_margin_proxy,0.0935,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_live_margin,0.0700,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_pct_reference_equity,0.0070,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_notional_proxy,37.3876,USD,Proxy; interpretation depends on symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_effective_leverage_proxy,534.1086,ratio,Derived from notional proxy/live OrderCalcMargin; verify against symbol calculation mode.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.02000000_hmr_margin_proxy,0.1869,USD,Informational only. Actual HMR snapshot via OrderCalcMargin is authoritative.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_live_margin,0.1900,USD,OrderCalcMargin at snapshot conditions; rerun during actual HMR.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_pct_reference_equity,0.0190,percent,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,margin_matrix,buy_vol_0.05000000_notional_proxy,93.4690,USD,Proxy; interpretation depends on symbol calculation mode.
